,CUSTOMER_ADDRESS_ID,PERCENT_OF_ORDER_ELIGIBLE,COST_SAVINGS_PERCENT,PRICE_SAVINGS_PERCENT,COMPARABLE_ACTUAL_TOTAL_COST_,PARENT_TOTAL_COST_,COMPARABLE_ACTUAL_TOTAL_PRICE_,PARENT_TOTAL_PRICE_
41680,3fdddafeeddf508dffa947761eb4ed73,0.11,0.97,0.97,3.09,2.99,3.09,2.99
41681,3082617a0fe9fd623b6d48f21b4cd51d,0.11,1.07,0.9,7.18,7.68,8.58,7.68
41682,caced39d1d486c093a6d52113ad48d5b,0.23,0.88,0.75,25.83,22.83,30.43,22.83
41684,2877055f4d61e4e0a506086169ca70d3,0.19,0.9299999999999999,0.79,38.53000000000001,35.910000000000004,45.21,35.910000000000004
41685,27737386c4d71bbcd140d50681c5c4a6,0.25,1.02,1.13,42.95,43.95,38.769999999999996,43.95
41686,78c9174063e437ab3b6eb8fd2c3f2083,0.42,0.9299999999999999,0.87,20.340000000000003,18.840000000000003,21.62,18.840000000000003
41687,823f675d3461ddb5b5e8f0b5efe3a055,0.25,1.02,0.87,11.99,12.280000000000001,14.079999999999998,12.280000000000001
41688,7b9331c5cb7d3bc556a43da6345b9c6b,0.50,1.1,0.96,29.68,32.74999999999999,34.150000000000006,32.74999999999999
41689,e002e0d46167b75b3a751458e084c30c,0.26,1.03,0.91,61.53,63.24000000000001,69.24,63.24000000000001
41690,76aad94107d630a7d0d399e86abe7a32,0.42,0.62,0.9,62.92,39.02,43.32000000000001,39.02
